BACKTEST SUMMARY
Pair,R_50
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,54
Win Rate,48.1%
Profit Factor,0.97
Total PnL (pips),-4.99

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-01-08 20:00:00+00:00,SELL,A+,126.25340,129.47070,123.03610,119.81880,2026-01-09 08:00:00+00:00,129.47070,SL,-3.22
2026-01-09 12:00:00+00:00,SELL,A+,130.47600,133.72646,127.22554,123.97509,2026-01-10 04:00:00+00:00,133.72646,SL,-3.25
2026-01-15 12:00:00+00:00,SELL,A+,129.09530,132.25011,125.94049,122.78567,2026-01-16 04:00:00+00:00,125.94049,TP1,3.15
2026-01-16 12:00:00+00:00,SELL,A+,127.51800,130.67807,124.35793,121.19786,2026-01-17 20:00:00+00:00,130.67807,SL,-3.16
2026-01-17 20:00:00+00:00,SELL,A+,128.39190,131.49790,125.28590,122.17989,2026-01-19 00:00:00+00:00,125.28590,TP1,3.11
2026-01-19 08:00:00+00:00,SELL,A+,126.58060,129.79069,123.37051,120.16041,2026-01-20 00:00:00+00:00,123.37051,TP1,3.21
2026-01-22 20:00:00+00:00,SELL,A+,120.97480,123.82514,118.12446,115.27413,2026-01-24 04:00:00+00:00,123.82514,SL,-2.85
2026-01-24 04:00:00+00:00,SELL,A+,123.82960,126.68275,120.97645,118.12329,2026-01-25 12:00:00+00:00,120.97645,TP1,2.85
2026-01-25 12:00:00+00:00,SELL,A+,120.16690,123.19101,117.14279,114.11868,2026-01-27 20:00:00+00:00,117.14279,TP1,3.02
2026-01-27 20:00:00+00:00,SELL,A+,119.31420,122.30013,116.32827,113.34234,2026-01-28 12:00:00+00:00,116.32827,TP1,2.99
2026-01-29 00:00:00+00:00,SELL,A+,116.68420,119.57870,113.78970,110.89520,2026-01-30 00:00:00+00:00,113.78970,TP1,2.89
2026-01-31 12:00:00+00:00,SELL,A+,112.95350,115.60660,110.30040,107.64730,2026-02-01 12:00:00+00:00,115.60660,SL,-2.65
2026-02-01 12:00:00+00:00,SELL,A+,114.44780,117.16794,111.72766,109.00752,2026-02-02 00:00:00+00:00,117.16794,SL,-2.72
2026-02-02 04:00:00+00:00,SELL,A+,116.19060,118.85299,113.52821,110.86581,2026-02-02 16:00:00+00:00,118.85299,SL,-2.66
2026-02-06 12:00:00+00:00,SELL,A+,116.24930,119.37280,113.12580,110.00229,2026-02-07 20:00:00+00:00,113.12580,TP1,3.12
2026-02-07 20:00:00+00:00,SELL,A+,113.54470,116.50871,110.58069,107.61669,2026-02-08 16:00:00+00:00,110.58069,TP1,2.96
2026-02-09 04:00:00+00:00,SELL,A+,113.29760,116.29308,110.30212,107.30664,2026-02-11 00:00:00+00:00,110.30212,TP1,3.00
2026-02-11 08:00:00+00:00,SELL,A+,112.47570,115.24921,109.70219,106.92869,2026-02-11 16:00:00+00:00,109.70219,TP1,2.77
2026-02-12 00:00:00+00:00,SELL,A+,110.35530,113.12823,107.58237,104.80944,2026-02-14 12:00:00+00:00,113.12823,SL,-2.77
2026-02-14 12:00:00+00:00,SELL,A+,113.49920,116.40182,110.59658,107.69396,2026-02-14 20:00:00+00:00,116.40182,SL,-2.90
2026-02-24 00:00:00+00:00,SELL,A+,109.43540,112.23851,106.63229,103.82918,2026-02-25 00:00:00+00:00,106.63229,TP1,2.80
2026-02-25 00:00:00+00:00,SELL,A+,107.79800,110.52407,105.07193,102.34587,2026-02-25 12:00:00+00:00,110.52407,SL,-2.73
2026-02-25 16:00:00+00:00,SELL,A+,112.09000,114.77687,109.40313,106.71627,2026-02-26 08:00:00+00:00,114.77687,SL,-2.69
2026-03-02 00:00:00+00:00,SELL,A+,109.14860,112.02465,106.27255,103.39649,2026-03-02 16:00:00+00:00,106.27255,TP1,2.88
2026-03-03 08:00:00+00:00,SELL,A+,107.37970,110.14726,104.61214,101.84458,2026-03-03 20:00:00+00:00,110.14726,SL,-2.77
2026-03-04 00:00:00+00:00,SELL,A+,111.51830,114.28649,108.75011,105.98192,2026-03-04 16:00:00+00:00,108.75011,TP1,2.77
2026-03-04 16:00:00+00:00,SELL,A+,108.74080,111.54350,105.93810,103.13540,2026-03-06 08:00:00+00:00,111.54350,SL,-2.80
2026-03-06 20:00:00+00:00,SELL,A+,107.93270,110.51031,105.35509,102.77748,2026-03-08 00:00:00+00:00,110.51031,SL,-2.58
2026-03-08 00:00:00+00:00,SELL,A+,110.76390,113.25298,108.27482,105.78574,2026-03-10 08:00:00+00:00,108.27482,TP1,2.49
2026-03-11 16:00:00+00:00,SELL,A+,107.06900,109.59405,104.54395,102.01891,2026-03-13 08:00:00+00:00,104.54395,TP1,2.53
2026-03-14 20:00:00+00:00,SELL,A+,101.44110,104.39629,98.48591,95.53073,2026-03-15 08:00:00+00:00,103.48550,OPEN,-2.04
